DATE,RH2M,T2M,T2M_MAX,T2M_MIN,WS2M,ALLSKY_SFC_SW_DWN,T2MDEW,PS,PRECTOTCORR,temp_lag1,temp_lag2,temp_lag3,temp_roll3,temp_roll7,month,day,day_of_week,week_of_year,target_temp
1981-01-07,72.21,26.28,31.68,22.84,1.4,4.8014,20.41,100.15,0.02,25.51,25.56,26.13,25.78333333333333,26.047142857142855,1,7,2,2,25.72
1981-01-08,72.89,25.72,30.9,22.26,2.26,4.8014,19.9,100.15,0.03,26.28,25.51,25.56,25.836666666666662,25.997142857142858,1,8,3,2,24.59
1981-01-09,67.68,24.59,29.29,20.89,1.71,4.8014,17.81,100.13,0.02,25.72,26.28,25.51,25.53,25.748571428571427,1,9,4,2,24.78
1981-01-10,66.99,24.78,29.6,20.95,1.61,4.8014,17.96,100.25,0.07,24.59,25.72,26.28,25.03,25.509999999999998,1,10,5,2,25.16
1981-01-11,70.04,25.16,29.77,22.53,1.45,4.8014,19.01,100.3,0.03,24.78,24.59,25.72,24.843333333333334,25.371428571428574,1,11,6,2,25.18
1981-01-12,69.91,25.18,29.94,22.28,1.3,4.8014,18.91,100.4,0.04,25.16,24.78,24.59,25.040000000000003,25.31714285714286,1,12,0,3,25.54
1981-01-13,69.25,25.54,31.16,20.5,1.75,4.8014,18.86,100.3,0.06,25.18,25.16,24.78,25.293333333333333,25.321428571428573,1,13,1,3,25.7
1981-01-14,65.97,25.7,31.59,20.63,1.73,4.8014,18.11,100.23,0.06,25.54,25.18,25.16,25.473333333333333,25.23857142857143,1,14,2,3,26.09
1981-01-15,69.5,26.09,31.47,20.82,1.32,4.8014,19.55,100.27,2.83,25.7,25.54,25.18,25.776666666666667,25.291428571428572,1,15,3,3,26.57
1981-01-16,72.86,26.57,32.19,22.08,1.88,4.8014,20.78,100.32,3.13,26.09,25.7,25.54,26.12,25.574285714285715,1,16,4,3,26.89
1981-01-17,70.09,26.89,32.35,22.9,1.81,4.8014,20.45,100.28,0.02,26.57,26.09,25.7,26.516666666666666,25.875714285714285,1,17,5,3,26.33
1981-01-18,69.73,26.33,31.82,21.95,1.79,4.8014,19.8,100.2,0.0,26.89,26.57,26.09,26.596666666666664,26.04285714285714,1,18,6,3,26.45
1981-01-19,70.23,26.45,31.08,22.7,1.32,4.8014,20.16,100.11,0.0,26.33,26.89,26.57,26.55666666666667,26.224285714285713,1,19,0,4,26.8
1981-01-20,66.53,26.8,31.97,22.51,1.42,4.8014,19.49,100.21,0.01,26.45,26.33,26.89,26.526666666666667,26.404285714285713,1,20,1,4,26.58
1981-01-21,68.84,26.58,32.35,21.6,1.71,4.8014,19.71,100.15,0.0,26.8,26.45,26.33,26.61,26.529999999999998,1,21,2,4,26.65
